loc,dow,hr,traffic
AE,6,19,0.6944816878980891
AE,6,20,0.6422702929936307
AE,6,21,0.5464068152866239
AE,6,22,0.4329316942675158
AE,6,23,0.34055141401273886
AU,0,0,0.4849210445859873
AU,0,1,0.5157362420382164
AU,0,2,0.5438756305732486
AU,0,3,0.5781580891719745
AU,0,4,0.6068520636942676
AU,0,5,0.614926949044586
AU,0,6,0.6118317770700634
AU,0,7,0.6091928089171974
AU,0,8,0.6161629108280253
AU,0,9,0.6566886496815286
AU,0,10,0.6932214522292994
AU,0,11,0.6867783949044589
AU,0,12,0.6127161401273885
AU,0,13,0.5019886433121019
AU,0,14,0.390716815286624
AU,0,15,0.3000377579617835
AU,0,16,0.24256901910828021
AU,0,17,0.20011236305732485
AU,0,18,0.1857162356687898
AU,0,19,0.20917160509554142
AU,0,20,0.26651108280254776
AU,0,21,0.33584002547770725
AU,0,22,0.4045657261146497
AU,0,23,0.4686029808917198
AU,1,0,0.503489280254777
AU,1,1,0.521790949044586
AU,1,2,0.5368727070063697
AU,1,3,0.5552006687898089
AU,1,4,0.5701644012738855
AU,1,5,0.5846064267515925
AU,1,6,0.5996832611464967
AU,1,7,0.5958059936305731
AU,1,8,0.6122829936305735
AU,1,9,0.6624227261146497
AU,1,10,0.7041480000000001
AU,1,11,0.6961394649681525
AU,1,12,0.6105805477707006
AU,1,13,0.48708747133757946
AU,1,14,0.37242898726114637
AU,1,15,0.2863930573248407
AU,1,16,0.2326720191082803
AU,1,17,0.19786226751592356
AU,1,18,0.18828005732484077
AU,1,19,0.21819527388535043
AU,1,20,0.27937987261146485
AU,1,21,0.34496464968152846
AU,1,22,0.41322156687898093
AU,1,23,0.4729309872611463
AU,2,0,0.5032782738853502
AU,2,1,0.5197117643312104
AU,2,2,0.5322258152866242
AU,2,3,0.5486113694267516
AU,2,4,0.5645860573248408
AU,2,5,0.5762502929936304
AU,2,6,0.595153095541401
AU,2,7,0.5924633076923081
AU,2,8,0.6392777179487181
AU,2,9,0.6923417435897432
AU,2,10,0.7269176794871796
AU,2,11,0.7127911089743594
AU,2,12,0.6272078269230767
AU,2,13,0.49716208333333345
AU,2,14,0.379935807692308
AU,2,15,0.2890845641025641
AU,2,16,0.23837877564102555
AU,2,17,0.20317266666666667
AU,2,18,0.19440810256410268
AU,2,19,0.2257159487179487
AU,2,20,0.29016017948717965
AU,2,21,0.35676950000000024
AU,2,22,0.4237060769230769
AU,2,23,0.4817874166666667
AU,3,0,0.5110127884615385
AU,3,1,0.5253475897435896
AU,3,2,0.5367630576923075
AU,3,3,0.5558403782051282
AU,3,4,0.5697241089743584
AU,3,5,0.5859506474358971
